model_id,equation,regressor,estimate,std_error,t_value,p_value
VAR-p1,EUA_ret,EUA_ret.l1,-0.03201662776670943,0.09182463774620718,-0.34867143015799024,0.7278873353709713
VAR-p1,EUA_ret,TTF_ret.l1,-0.12249764641578093,0.053145953931548334,-2.3049289241012993,0.022719179843449736
VAR-p1,EUA_ret,Brent_ret.l1,0.0807619585067806,0.09561184382331912,0.8446857133727116,0.3998032232457197
VAR-p1,EUA_ret,Power_ret.l1,-0.2625441007309888,0.17937284955079422,-1.4636780392823188,0.14564139144434646
VAR-p1,EUA_ret,CPI_yoy_change.l1,4.037829740215066,2.6299687206228946,1.5353147391269073,0.12708203737953427
VAR-p1,EUA_ret,IP_growth.l1,0.053490448573111894,0.3825358953814362,0.13983118765828556,0.8890049044309933
VAR-p1,EUA_ret,Bund2Y_change.l1,1.6582997301534026,5.255069404329223,0.31556190842831966,0.7528296736799797
VAR-p1,EUA_ret,CISS_change.l1,0.05591378684499367,0.11890899370339776,0.47022336245198554,0.6389656002486372
VAR-p1,EUA_ret,GreenEquity_relative.l1,-0.06196618389728919,0.15983335128906165,-0.3876924521542576,0.6988634051239765
VAR-p1,EUA_ret,GreenBond_relative.l1,-0.12261247787323996,3.3667486315445774,-0.03641866123429254,0.9710031389154434
VAR-p1,EUA_ret,const,0.020158803978446632,0.009658748356993652,2.0871031352473493,0.03878758929358059
VAR-p1,TTF_ret,EUA_ret.l1,0.16057343251168743,0.15304099390405554,1.0492184375929636,0.2959804253427982
VAR-p1,TTF_ret,TTF_ret.l1,-0.07637483199861272,0.08857654994668639,-0.8622466335004265,0.3901038413688588
VAR-p1,TTF_ret,Brent_ret.l1,0.2894346408066167,0.159353001186487,1.8163111999873682,0.07157469807157245
VAR-p1,TTF_ret,Power_ret.l1,0.04196956162024424,0.2989546144524817,0.14038773643654603,0.8885660378850018
VAR-p1,TTF_ret,CPI_yoy_change.l1,4.093020269926274,4.3832792246145305,0.9337804096398212,0.35210935718794667
VAR-p1,TTF_ret,IP_growth.l1,1.1089860977478823,0.6375595381596912,1.739423585362645,0.08427383068261003
VAR-p1,TTF_ret,Bund2Y_change.l1,-18.861391794472734,8.75844505802645,-2.1535091753744235,0.03308215386757448
VAR-p1,TTF_ret,CISS_change.l1,0.21155255833183978,0.19818156681212437,1.06746839140893,0.2876941556534388
VAR-p1,TTF_ret,GreenEquity_relative.l1,0.14207182989914433,0.26638879870020954,0.533325089464554,0.5946986734240673
VAR-p1,TTF_ret,GreenBond_relative.l1,-0.7988148326868396,5.611245189126635,-0.1423596377921193,0.8870113739585833
VAR-p1,TTF_ret,const,0.004643407668542625,0.016097906669765523,0.28844791834106587,0.7734529470489442
VAR-p1,Brent_ret,EUA_ret.l1,-0.018901522283075893,0.1001126480327588,-0.18880254048310607,0.8505353765555406
VAR-p1,Brent_ret,TTF_ret.l1,0.01076097860847222,0.05794286055361084,0.18571707550606295,0.8529495774288208
VAR-p1,Brent_ret,Brent_ret.l1,0.11570551609766651,0.10424168396833584,1.1099735891911808,0.2690132339567795
VAR-p1,Brent_ret,Power_ret.l1,-0.08406179014815325,0.195562883714762,-0.4298453190676073,0.668003784759782
VAR-p1,Brent_ret,CPI_yoy_change.l1,1.8931169325885993,2.8673473626173944,0.6602328539854723,0.5102462373317327
VAR-p1,Brent_ret,IP_growth.l1,-0.7849058744307523,0.4170632457060775,-1.8819828467548767,0.06202352063170207
VAR-p1,Brent_ret,Bund2Y_change.l1,1.0907978294501737,5.729387303627686,0.1903864709511803,0.8492965897313711
VAR-p1,Brent_ret,CISS_change.l1,-0.13882918887104512,0.1296416139147742,-1.0708690263784497,0.28616778387699565
VAR-p1,Brent_ret,GreenEquity_relative.l1,-0.13801943071619144,0.17425976768592327,-0.7920326794246074,0.42975201248420847
VAR-p1,Brent_ret,GreenBond_relative.l1,-1.011422110463152,3.670628374229733,-0.2755446771904265,0.78332544731243825
VAR-p1,Brent_ret,const,0.001857333203338592,0.010530538409236831,0.1763759013223329,0.8602669204020168
VAR-p1,Power_ret,EUA_ret.l1,0.044785605225970145,0.040624802681742136,1.1024202523966469,0.27226989149552927
VAR-p1,Power_ret,TTF_ret.l1,-0.003849752545687479,0.02351268618962004,-0.16373086914191023,0.8701915615544663
VAR-p1,Power_ret,Brent_ret.l1,-0.04952895127004078,0.042300327936990116,-1.1708881156623254,0.24373732907611548
VAR-p1,Power_ret,Power_ret.l1,0.37545147334456297,0.0793576408066344,4.731131993444729,5.6264731519040975e-6
VAR-p1,Power_ret,CPI_yoy_change.l1,3.996682647665139,1.1635434994010856,3.4349232750837113,7.909858236609744e-4
VAR-p1,Power_ret,IP_growth.l1,0.12096567327909255,0.16924047456093883,0.7147561692491955,0.47601242699633983
VAR-p1,Power_ret,Bund2Y_change.l1,-1.2078946702089113,2.3249332953513657,-0.519539495014356,0.6042481404590072
VAR-p1,Power_ret,CISS_change.l1,-0.06485512402618208,0.05260738865789408,-1.2328139769098794,0.2198198387795965
VAR-p1,Power_ret,GreenEquity_relative.l1,0.08308022580118753,0.07071302993893822,1.1748927442782267,0.24213680376117283
VAR-p1,Power_ret,GreenBond_relative.l1,-0.6969423957711968,1.4895076331643167,-0.46790119114100087,0.6406210722654944
VAR-p1,Power_ret,const,0.002653469812092567,0.0042731967779712325,0.6209566163139213,0.5356908961172981
VAR-p1,CPI_yoy_change,EUA_ret.l1,-0.0026050858274839638,0.0027870633569553153,-0.9347063535469283,0.35163360720728765
VAR-p1,CPI_yoy_change,TTF_ret.l1,0.0012724993760587422,0.0016130871235500387,0.7888596700581552,0.4315979639012888
VAR-p1,CPI_yoy_change,Brent_ret.l1,0.008169651895830795,0.0029020127163193075,2.8151675042253297,0.005616884329198389
VAR-p1,CPI_yoy_change,Power_ret.l1,0.014085562705153572,0.005444328542818854,2.5871992467707754,0.010749870572157783
VAR-p1,CPI_yoy_change,CPI_yoy_change.l1,0.3349207945936846,0.0798248665183488,4.195695015872011,4.9399573998764114e-5
VAR-p1,CPI_yoy_change,IP_growth.l1,-0.0021546621454680967,0.011610737628874886,-0.18557495779679328,0.8530608102040339
VAR-p1,CPI_yoy_change,Bund2Y_change.l1,-0.15178723898039403,0.1595019782767173,-0.951632328453387,0.3430096781449211
VAR-p1,CPI_yoy_change,CISS_change.l1,0.005249008977949559,0.003609128304749114,1.4543702896465578,0.14819956459502254
VAR-p1,CPI_yoy_change,GreenEquity_relative.l1,0.004837756013798186,0.004851265276192286,0.9972153115476087,0.32047085763863586
VAR-p1,CPI_yoy_change,GreenBond_relative.l1,-0.0903022914992428,0.10218762603770712,-0.8836910592865849,0.3784576079770813
VAR-p1,CPI_yoy_change,const,1.156644497398321e-4,2.9316253546495777e-4,0.39454035133236753,0.6938140910735018
VAR-p1,IP_growth,EUA_ret.l1,0.004691240412833374,0.01734691851550299,0.2704365278848113,0.7872436519039661
VAR-p1,IP_growth,TTF_ret.l1,-0.00540168323635483,0.01003999095348813,-0.5380167433794507,0.5914646765680105
VAR-p1,IP_growth,Brent_ret.l1,0.08381794120327705,0.018062373069243305,4.640472261421875,8.225692741949858e-6
VAR-p1,IP_growth,Power_ret.l1,0.013154832119613033,0.033885962214751326,0.38820890008212416,0.6984821275636528
VAR-p1,IP_growth,CPI_yoy_change.l1,0.19036544773211642,0.4968367337430789,0.38315493763501995,0.7022166054723606
VAR-p1,IP_growth,IP_growth.l1,-0.03244364787434167,0.07226621492128722,-0.4489462732990717,0.6542010692227598
VAR-p1,IP_growth,Bund2Y_change.l1,-1.8160290265914911,0.9927538293389807,-1.8292843330563462,0.0695968606535254
VAR-p1,IP_growth,CISS_change.l1,-0.10031900239272912,0.022463520414143963,-4.465862898745119,1.6864801195434835e-5
VAR-p1,IP_growth,GreenEquity_relative.l1,0.0043071931955402844,0.030194686185795933,0.14264739063810697,0.886784543760268
VAR-p1,IP_growth,GreenBond_relative.l1,0.4115084590763276,0.6360244440604649,0.6470010121768319,0.5187463745224663
VAR-p1,IP_growth,const,5.841177299744048e-4,0.001824668463965031,0.32012266420449254,0.7493777067131228
VAR-p1,Bund2Y_change,EUA_ret.l1,-0.0024799596084685445,0.001501588297723579,-1.6515576288308753,0.10098393719088902
VAR-p1,Bund2Y_change,TTF_ret.l1,-2.53471811791596e-4,8.690842071769099e-4,-0.29165391534953933,0.7710056503000287
VAR-p1,Bund2Y_change,Brent_ret.l1,-0.0011841005879313262,0.0015635196536868518,-0.7573301590032221,0.4501917301442029
VAR-p1,Bund2Y_change,Power_ret.l1,0.006880654391639555,0.002933245133612629,2.3457481656724806,0.020467312136748933
VAR-p1,Bund2Y_change,CPI_yoy_change.l1,0.05407779076951737,0.04300730556848301,1.2574094111384444,0.21080888523154426
VAR-p1,Bund2Y_change,IP_growth.l1,-0.0028466886434949314,0.006255526164465615,-0.45506781822214837,0.6498024181045348
VAR-p1,Bund2Y_change,Bund2Y_change.l1,-0.03707659453668601,0.08593500518973643,-0.4314492616230647,0.666840284532555
VAR-p1,Bund2Y_change,CISS_change.l1,-0.004556360572993078,0.0019444928705584133,-2.343212794441667,0.020601220467691993
VAR-p1,Bund2Y_change,GreenEquity_relative.l1,0.0010602983398127113,0.002613719975078369,0.40566638734163535,0.6856396046028956
VAR-p1,Bund2Y_change,GreenBond_relative.l1,-0.03076526426965679,0.05505570694955481,-0.5588024561712682,0.5772361887883313
VAR-p1,Bund2Y_change,const,1.9190114716097442e-4,1.5794740779271496e-4,1.2149686395158776,0.22653058022761002
VAR-p1,CISS_change,EUA_ret.l1,-0.02807526339457818,0.07360678973227237,-0.3814221961954249,0.7034986452549274
VAR-p1,CISS_change,TTF_ret.l1,0.048567148362278316,0.042601889342297944,1.1400233443181516,0.25632544867280727
VAR-p1,CISS_change,Brent_ret.l1,-0.07422192251590029,0.07664262072744858,-0.9684157693386214,0.3345945225502788
VAR-p1,CISS_change,Power_ret.l1,0.16452306989881924,0.14378558897292454,1.1442250302970185,0.2545854420859822
VAR-p1,CISS_change,CPI_yoy_change.l1,1.0019136748209212,2.10818751233613,0.47524884240998,0.6353891751320334
VAR-p1,CISS_change,IP_growth.l1,0.6142612861749664,0.30664144076681593,2.003190712380192,0.04718916681921792
VAR-p1,CISS_change,Bund2Y_change.l1,7.772272821534024,4.212472797791529,1.8450618424429446,0.06725284936646299
VAR-p1,CISS_change,CISS_change.l1,-0.22829858720611854,0.09531765669463392,-2.39513428175759,0.0180077500927897
VAR-p1,CISS_change,GreenEquity_relative.l1,0.04037041976491372,0.1281226930952345,0.315091876307237,0.7531857194824629
VAR-p1,CISS_change,GreenBond_relative.l1,1.951869633749642,2.6987915736564236,0.7232383755760642,0.4708034631415692
VAR-p1,CISS_change,const,-0.0033474773945235065,0.0077424695249563216,-0.43235267297256696,0.6661853061269248
VAR-p1,GreenEquity_relative,EUA_ret.l1,-0.032128559067014395,0.049791246303002426,-0.6452652113083788,0.5198669178615164
VAR-p1,GreenEquity_relative,TTF_ret.l1,-0.006009606344176107,0.028818009492480083,-0.20853648291511195,0.8351291279358417
VAR-p1,GreenEquity_relative,Brent_ret.l1,-0.019557396396081513,0.05184483143237581,-0.3772294335953498,0.7066043553928785
VAR-p1,GreenEquity_relative,Power_ret.l1,0.016911854169794745,0.09726363154015161,0.17387644181076384,0.8622269412705352
VAR-p1,GreenEquity_relative,CPI_yoy_change.l1,-0.019328952055384072,1.4260815348888822,-0.013553889860084437,0.9892062021212906
VAR-p1,GreenEquity_relative,IP_growth.l1,0.11008806649933246,0.20742732510767126,0.5307307821772662,0.5964904521870471
VAR-p1,GreenEquity_relative,Bund2Y_change.l1,-1.5742756185106808,2.8495234119356634,-0.5524697961478706,0.5815537988509081
VAR-p1,GreenEquity_relative,CISS_change.l1,-0.038210298850913996,0.06447754261216886,-0.5926140684478034,0.5544457006966885
VAR-p1,GreenEquity_relative,GreenEquity_relative.l1,0.037894250774400305,0.08666847979802346,0.43723220786508493,0.662652075099488
VAR-p1,GreenEquity_relative,GreenBond_relative.l1,-0.8762625038920738,1.8255951176943968,-0.4799873177787275,0.6320248580016938
VAR-p1,GreenEquity_relative,const,0.002914758640476178,0.005237386503511203,0.5565292228331995,0.5787843225146665
VAR-p1,GreenBond_relative,EUA_ret.l1,-2.0938470863891799e-4,0.00231336020483304,-0.09051107052048114,0.9280172666450568
VAR-p1,GreenBond_relative,TTF_ret.l1,-6.203098182098396e-4,0.0013389188118873056,-0.4632915847492402,0.6439126094501381
VAR-p1,GreenBond_relative,Brent_ret.l1,-0.0017834844947658183,0.0024087721992751797,-0.7404122711572659,0.4603549667055723
VAR-p1,GreenBond_relative,Power_ret.l1,0.0010920035453548884,0.004518983381401371,0.24164805514647628,0.8094250591847023
VAR-p1,GreenBond_relative,CPI_yoy_change.l1,-0.07875116447910874,0.06625743512389701,-1.1885634318903122,0.2367294318989993
VAR-p1,GreenBond_relative,IP_growth.l1,0.004499814315693662,0.009637318904992273,0.46691557683773355,0.6413242626799605
VAR-p1,GreenBond_relative,Bund2Y_change.l1,-0.22975295938791093,0.1323922286218116,-1.735396116370377,0.08498690012934461
VAR-p1,GreenBond_relative,CISS_change.l1,-0.0013253526486798795,0.002995702904818103,-0.4424179201977153,0.6589054487550318
VAR-p1,GreenBond_relative,GreenEquity_relative.l1,-4.908662979812656e-4,0.004026720097705884,-0.12190226439153878,0.9031604160922375
VAR-p1,GreenBond_relative,GreenBond_relative.l1,0.2823977497986049,0.0848193087939846,3.3294040450684808,0.0011263164998244442
VAR-p1,GreenBond_relative,const,2.8703957040235653e-4,2.433351726289663e-4,1.1796057565423557,0.2402627553682295
VAR-p2,EUA_ret,EUA_ret.l1,-0.018062788769801632,0.09812158784402086,-0.18408577731655926,0.8542517929578001
VAR-p2,EUA_ret,TTF_ret.l1,-0.0907156760616958,0.05733292562047923,-1.5822614157560504,0.11617893736883958
VAR-p2,EUA_ret,Brent_ret.l1,0.03789082213692738,0.10105224001792258,0.3749627136440229,0.7083392368373791
VAR-p2,EUA_ret,Power_ret.l1,-0.3797249211208457,0.20977525965446553,-1.8101511195663174,0.07273374240028516
VAR-p2,EUA_ret,CPI_yoy_change.l1,3.4725693934467157,3.1171954436568043,1.114004385099774,0.26746720414151154
VAR-p2,EUA_ret,IP_growth.l1,0.06535148525085968,0.4934844435965156,0.13242866335274509,0.894863411364012
VAR-p2,EUA_ret,Bund2Y_change.l1,0.7642445325186895,5.522721318603107,0.13838187524406792,0.8901667722249603
VAR-p2,EUA_ret,CISS_change.l1,0.01177253152808819,0.1353114850493521,0.08700319506355578,0.9308116102859975
VAR-p2,EUA_ret,GreenEquity_relative.l1,-0.04173138248221875,0.16269651312309308,-0.2564983212064636,0.7979981112457437
VAR-p2,EUA_ret,GreenBond_relative.l1,1.1014701796131643,3.7004920342362646,0.29765506030618816,0.7664727153279453
VAR-p2,EUA_ret,EUA_ret.l2,-0.021947237008873837,0.09513415149325256,-0.23069777429433905,0.8179360223488757
VAR-p2,EUA_ret,TTF_ret.l2,0.04572930220623052,0.0562445124114025,0.8130446908623173,0.4177762711937836
VAR-p2,EUA_ret,Brent_ret.l2,0.022085246385637847,0.12021212121786588,0.18371896412685168,0.8545389318081393
VAR-p2,EUA_ret,Power_ret.l2,0.12179204539328481,0.20500287045740948,0.594099219789158,0.5535458016100927
VAR-p2,EUA_ret,CPI_yoy_change.l2,2.3151199974861894,2.955561860533779,0.7833096063393088,0.43496330786438253
VAR-p2,EUA_ret,IP_growth.l2,-0.6230282862968549,0.4026922942774815,-1.5471572094884622,0.12441550367571204
VAR-p2,EUA_ret,Bund2Y_change.l2,6.41187887472756,5.874712408518301,1.0914370659966897,0.277231396458694
VAR-p2,EUA_ret,CISS_change.l2,-0.06351251744894697,0.14463957238711522,-0.439108857975335,0.6613593903412744
VAR-p2,EUA_ret,GreenEquity_relative.l2,-0.22328479715103153,0.1772751286972602,-1.2595382036492206,0.2102403117644101
VAR-p2,EUA_ret,GreenBond_relative.l2,0.14071814213189895,3.6590312157211096,0.038457759400165895,0.9693855697147585
VAR-p2,EUA_ret,const,0.019996640194950163,0.010049543557405073,1.9898058136397156,0.04884873990106097
VAR-p2,TTF_ret,EUA_ret.l1,0.2555034297300629,0.15307906428741072,1.669094535686129,0.09766288394970475
VAR-p2,TTF_ret,TTF_ret.l1,-0.11993753839219966,0.08944484898465166,-1.3409105136147126,0.18244077939648617
VAR-p2,TTF_ret,Brent_ret.l1,0.26706801025843385,0.15765116205294924,1.6940440322839834,0.09280840575357269
VAR-p2,TTF_ret,Power_ret.l1,0.137030831480122,0.3272694741711826,0.4187094803973261,0.6761646732821404
VAR-p2,TTF_ret,CPI_yoy_change.l1,1.7962368271204876,4.863123112872057,0.3693586992206883,0.7125006791752553
VAR-p2,TTF_ret,IP_growth.l1,0.46539480509776354,0.7698829434582103,0.6045007348874011,0.5466333671878816
VAR-p2,TTF_ret,Bund2Y_change.l1,-15.875341921813076,8.615973613429603,-1.8425476485986905,0.06782292896236021
VAR-p2,TTF_ret,CISS_change.l1,0.2113505624585357,0.2110988618694369,1.0011923351308947,0.3187154836241107
VAR-p2,TTF_ret,GreenEquity_relative.l1,0.17673990168648177,0.2538221255785066,0.6963140084169555,0.4875566929114703
VAR-p2,TTF_ret,GreenBond_relative.l1,-0.7229967143251016,5.773121597913713,-0.1252349707282067,0.900543663935176
VAR-p2,TTF_ret,EUA_ret.l2,-0.017264943315017597,0.14841837777344216,-0.11632618260638992,0.9075853039818975
VAR-p2,TTF_ret,TTF_ret.l2,0.27726708450403015,0.08774682025046136,3.1598533566527993,0.001990682880252918
VAR-p2,TTF_ret,Brent_ret.l2,0.2407387082007849,0.1875424097425778,1.2836494344464529,0.2016973772561288
VAR-p2,TTF_ret,Power_ret.l2,-0.29781968256361235,0.31982409045132254,-0.9311984039205474,0.3535899964098186
VAR-p2,TTF_ret,CPI_yoy_change.l2,3.0302464072864375,4.610959259783718,0.6571835135729597,0.5123008223581568
VAR-p2,TTF_ret,IP_growth.l2,0.051742911285259305,0.6282385044740573,0.08236189109194596,0.9344939159556945
VAR-p2,TTF_ret,Bund2Y_change.l2,-14.041373745674148,9.165113388535751,-1.5320458297043988,0.1281001677481142
VAR-p2,TTF_ret,CISS_change.l2,-0.07673874707195506,0.22565157053051105,-0.3400762817273589,0.7343838996344983
VAR-p2,TTF_ret,GreenEquity_relative.l2,-0.7806786326070404,0.27656616060418276,-2.82275543364228,0.005561535686207495
VAR-p2,TTF_ret,GreenBond_relative.l2,3.1146413676462954,5.708438754491128,0.5456205280639725,0.5863230458060529
VAR-p2,TTF_ret,const,0.005817369470309596,0.01567824938512639,0.37104713207511586,0.7112459595067017
VAR-p2,Brent_ret,EUA_ret.l1,0.009869211535232453,0.10793945459170741,0.09143284605767008,0.9272986219536599
VAR-p2,Brent_ret,TTF_ret.l1,0.02200872008603222,0.06306955337350423,0.3489595043696341,0.7277212494293126
VAR-p2,Brent_ret,Brent_ret.l1,0.08635358892194712,0.1111633424659213,0.7768171323961408,0.43877023231080636
VAR-p2,Brent_ret,Power_ret.l1,-0.09935103949099806,0.2307649887395966,-0.4305290851685881,0.6675704379121798
VAR-p2,Brent_ret,CPI_yoy_change.l1,2.14889541825345,3.42909632260475,0.6266652249130009,0.5320495842989166
VAR-p2,Brent_ret,IP_growth.l1,-0.9571510521638316,0.5428615951056069,-1.763158530265214,0.080377493281211
VAR-p2,Brent_ret,Bund2Y_change.l1,1.8535967333689984,6.075314720137192,0.30510299774678024,0.7608076147798085
VAR-p2,Brent_ret,CISS_change.l1,-0.14836274466568528,0.14885050494126337,-0.9967231533694121,0.32087171714572515
VAR-p2,Brent_ret,GreenEquity_relative.l1,-0.11492528548358635,0.1789756288737979,-0.6421281277610388,0.5219947626159673
VAR-p2,Brent_ret,GreenBond_relative.l1,-0.7733190523390808,4.070756503975184,-0.18996937094712438,0.8496488524598977
